,tpv medio,segmento_ord,mcc_ord,bairro_ord,cidade_ord,regiao_ord,uf_ord,subcanal_de_vendas_ord,prob_default_60d,prob_default_mar,estimativa_limite,estimativa_juros_parcelados,estimativa_juros_rotativo
3503,3000.0,22,109,1356,371,1,8,2,0.8158072035434314,0.47042523221728777,1849.2795,6.484156,16.210390329360962
3504,10000.0,21,108,516,366,1,8,2,0.960155897589901,0.9616931058026911,8908.88,5.3699455,13.424863815307617
3505,12000.0,21,108,1295,395,5,21,2,0.7367993974136042,0.6875782113017732,9426.622,5.3448954,13.36223840713501
3506,10000.0,20,101,1297,97,3,19,1,0.9643218683956666,0.9722526296702393,7334.417,5.0142827,12.535706758499146
3507,20000.0,13,98,831,341,3,15,2,0.9630417357952816,0.9612162534748826,18866.617,3.357528,8.39381992816925
3508,21000.0,13,98,1280,456,3,15,2,0.8476372119026138,0.7089294087075152,13271.167,4.4104843,11.02621078491211
3509,50000.0,14,139,1297,416,3,15,2,0.6392769816050661,0.6089013771174903,54298.266,2.8638356,7.159588932991028
3510,20000.0,13,98,1304,16,3,15,2,0.9484910710385809,0.9547019689128335,15070.495,3.814227,9.53556776046753
3511,20000.0,26,119,1293,385,3,14,2,0.8602322727392822,0.8691059875320327,12020.268,4.110391,10.275977849960327
3512,20000.0,20,101,1297,229,3,15,2,0.8800343716081128,0.9558878666356013,19875.85,3.9797115,9.949278831481934
3513,2000.0,10,92,127,341,3,15,2,0.982531388074721,0.9780567778266658,524.51324,6.1281776,15.320444107055664
3514,8000.0,21,108,1295,410,5,24,2,0.8100043420087194,0.8769224464460738,6984.749,5.665101,14.162752628326416
3515,20000.0,14,87,140,436,3,15,4,0.9827366196040549,0.9829819315398515,16948.69,4.65324,11.633100509643555
3516,20000.0,21,108,52,450,1,7,2,0.9753580452496072,0.9783258811616194,17344.65,4.1322975,10.330743789672852
3517,8000.0,21,108,1297,486,3,14,2,0.6832624275332163,0.8090314168064277,7394.2026,5.810039,14.525097608566284
3518,30000.0,9,90,271,405,3,15,2,0.9786489238310327,0.9780538632207066,27135.916,3.1341543,7.835385799407959
3519,35000.0,13,98,1308,474,4,17,2,0.9134975648811201,0.9236547923597582,28737.303,3.4640474,8.660118579864502
3520,20000.0,14,87,1295,455,3,15,2,0.8049141464320749,0.758384174089136,18175.973,4.9842224,12.460556030273438
3521,1000.0,24,113,1562,387,5,9,2,0.8222258268336068,0.4842172112772338,1763.856,6.4546347,16.136586666107178
3522,10000.0,20,106,1297,403,5,24,2,0.9682160765453851,0.8086911806026342,10449.514,5.533629,13.834072351455688
3523,10000.0,14,139,1284,90,3,14,2,0.9675069782382636,0.9615095642634834,14312.445,4.1559377,10.389844179153442
3524,15100.0,10,92,1175,420,3,19,4,0.8501973414403595,0.9401911142858238,10718.299,4.658233,11.645582914352417
3525,100000.0,17,143,1297,391,3,14,2,0.8282173622914882,0.6078561690805054,51691.477,3.2369459,8.09236466884613
3526,7000.0,24,113,1568,358,1,8,2,0.6120827107507563,0.280314980530477,6440.5986,5.520566,13.801414966583252
3527,70000.0,13,98,1297,417,5,9,2,0.7087029453466892,0.7423019926673545,56115.41,2.0952153,5.2380383014678955
3528,15000.0,1,67,1308,428,4,17,2,0.885308927240847,0.8552702656444321,14495.736,3.8388832,9.597207903862
3529,20000.0,20,95,1203,292,3,15,2,0.564831506941455,0.9545035136597511,20461.168,3.972088,9.930220246315002
